seqnames	start	end	width	strand	symbol	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2
chr19	45641683	45642362	680	*	EML2-AS1	158	0	158	65	0	65
chr2	72917057	72917082	26	*	EMX1	29	4	25	31	4	27
chr9	127854220	127854220	1	*	ENG	24	0	24	10	0	10
chr18	712282	712288	7	*	ENOSF1	68	0	68	20	0	20
chr16	33769289	33769289	1	*	ENPP7P13	28	15	13	12	9	3
chr3	27722946	27722946	1	*	EOMES	16	9	7	11	1	10
chr12	131949622	131950688	1067	*	EP400	312	2	310	144	1	143
chr18	5540570	5628984	88415	*	EPB41L3	182	54	128	80	19	61
chr7	37920716	37920718	3	*	EPDR1	30	1	29	20	0	20
chr1	37764776	37764776	1	*	EPHA10	23	4	19	11	1	10
chr3	134794398	134795951	1554	*	EPHB1	36	2	34	20	1	19
chr1	220047459	220047459	1	*	EPRS1	15	14	1	10	5	5
chr2	127293637	127293658	22	*	ERCC3	38	24	14	31	9	22
chr13	102845920	102845920	1	*	ERCC5	16	0	16	10	1	9
chr9	100098495	100098510	16	*	ERP44	68	1	67	36	0	36
chr7	65006712	65006712	1	*	ERV3-1	11	3	8	10	0	10
chr19	58305335	58305362	28	*	ERVK3-1	81	1	80	42	0	42
chr18	21600315	21600338	24	*	ESCO1	67	0	67	20	0	20
chr13	46796690	46796690	1	*	ESD	17	0	17	10	0	10
chr6	151807402	151807402	1	*	ESR1	19	7	12	10	1	9
chr7	158830359	158830359	1	*	ESYT2	24	14	10	15	6	9
chr1	157099129	157099129	1	*	ETV3L	29	29	0	11	8	3
chr3	186109266	186109280	15	*	ETV5	65	0	65	22	0	22
chr22	29269250	29269254	5	*	EWSR1	43	0	43	22	0	22
chr5	442554	442554	1	*	EXOC3-AS1	22	7	15	10	2	8
chr1	231338064	231338064	1	*	EXOC8	36	0	36	10	0	10
chr11	108539099	108539099	1	*	EXPH5	15	2	13	10	0	10
chr11	70203192	70203456	265	*	FADD	134	0	134	50	0	50
chr17	74892815	74892815	1	*	FADS6	19	0	19	10	0	10
chr1	150516294	150516313	20	*	FALEC	41	1	40	23	0	23
chr17	73231679	73231679	1	*	FAM104A	10	0	10	10	0	10
chr3	184336943	184336943	1	*	FAM131A	12	12	0	11	7	4
chr10	59362312	59362312	1	*	FAM13C	21	14	7	10	8	2
chr4	2536698	2536698	1	*	FAM193A	11	0	11	10	0	10
chr9	38621838	38621838	1	*	FAM201A	23	0	23	10	0	10
chr18	13726159	13726169	11	*	FAM210A	27	0	27	20	0	20
chr12	110469138	110469158	21	*	FAM216A	40	0	40	25	0	25
chr6	4078571	4078571	1	*	FAM217A	21	20	1	14	12	2
chr16	235609	235611	3	*	FAM234A	48	0	48	20	0	20
chr4	1683898	1683918	21	*	FAM53A	42	3	39	34	1	33
chr1	166167494	166167508	15	*	FAM78B	38	6	32	23	2	21
chr11	22625372	22625372	1	*	FANCF	13	2	11	10	2	8
chr14	45136122	45136122	1	*	FANCM	22	0	22	10	0	10
chr10	125896729	125896740	12	*	FANK1	157	54	103	59	4	55
chr4	186724806	186724806	1	*	FAT1	19	7	12	10	5	5
chr16	30659058	30659058	1	*	FBRS	21	0	21	12	0	12
chr16	30925253	30925262	10	*	FBXL19	55	52	3	21	9	12
chr18	74147373	74147725	353	*	FBXO15	144	6	138	64	4	60
chr12	117190659	117190659	1	*	FBXO21	16	3	13	13	3	10
chr11	33774800	33774800	1	*	FBXO3-DT	10	0	10	10	0	10
chr6	53066077	53066077	1	*	FBXO9	27	0	27	10	0	10
chr18	57586336	57586336	1	*	FECH	27	0	27	10	0	10
chr19	4791482	4791688	207	*	FEM1A	123	0	123	53	1	52
chr11	64206355	64207098	744	*	FERMT3	47	1	46	21	0	21
chr12	95217551	95217576	26	*	FGD6	34	0	34	22	1	21
chr5	44388848	44388848	1	*	FGF10-AS1	19	7	12	10	2	8
chr4	80268497	80268509	13	*	FGF5	20	12	8	22	17	5
chr10	101775368	101775368	1	*	FGF8	14	7	7	11	2	9
chr13	21670434	21670817	384	*	FGF9	93	0	93	51	2	49
chr10	91908652	91908683	32	*	FGFBP3	201	9	192	89	6	83
chr7	77199428	77199428	1	*	FGL2	20	0	20	10	0	10
chr3	61251024	61251044	21	*	FHIT	57	0	57	43	0	43
chr18	36297190	36297366	177	*	FHOD3	79	13	66	44	1	43
chr13	99351843	99351843	1	*	FKSG29	23	23	0	10	6	4
chr14	85530020	85531583	1564	*	FLRT2	43	5	38	21	7	14
chr13	28100556	28100571	16	*	FLT3	52	0	52	20	0	20
chr4	158769220	158769220	1	*	FNIP2	17	0	17	11	0	11
chr7	291537	291537	1	*	FOXL3-OT1	17	12	5	11	6	5
chr2	48315289	48315447	159	*	FOXN2	102	1	101	52	0	52
chr6	41545657	41548118	2462	*	FOXP4-AS1	96	35	61	63	23	40
chr20	29080383	29080395	13	*	FRG1DP	98	87	11	24	19	5
chr11	61967214	61967226	13	*	FTH1	44	2	42	31	0	31
chr1	23868819	23868819	1	*	FUCA1	46	2	44	10	0	10
chr4	75673668	75673691	24	*	G3BP2	94	0	94	43	0	43
chr16	75566922	75566922	1	*	GABARAPL2	34	4	30	13	0	13
chr4	47031437	47031437	1	*	GABRB1	18	13	5	12	4	8
chr2	170816212	170816232	21	*	GAD1	69	10	59	34	0	34
chr1	67685987	67686006	20	*	GADD45A	31	0	31	20	0	20
chr1	23800360	23800378	19	*	GALE	67	0	67	33	0	33
chr12	51392185	51392185	1	*	GALNT6	24	18	6	11	7	4
chr11	62646321	62646348	28	*	GANAB	56	3	53	31	0	31
chr18	32469929	32471306	1378	*	GAREM1	140	21	119	49	8	41
chr2	26172657	26172657	1	*	GAREM2	27	4	23	10	3	7
chr21	33542692	33542692	1	*	GART	24	0	24	11	0	11
chr9	86946850	86946850	1	*	GAS1	22	2	20	12	1	11
chr18	22170506	22170531	26	*	GATA6	139	16	123	51	5	46
chr1	155244891	155244905	15	*	GBA	45	0	45	23	0	23
chr1	155227327	155227334	8	*	GBAP1	64	0	64	36	0	36
chr19	12891669	12891680	12	*	GCDH	76	5	71	25	0	25
chr9	76459532	76459540	9	*	GCNT1	57	0	57	21	1	20
chr16	81095631	81095631	1	*	GCSH	20	2	18	10	0	10
chr21	39380855	39380881	27	*	GET1	79	1	78	34	0	34
chr19	12736271	12736589	319	*	GET3	238	139	99	85	18	67
chr1	92484000	92484000	1	*	GFI1	24	0	24	10	0	10
chr10	84139937	84139937	1	*	GHITM	24	0	24	11	0	11
chr3	172449106	172449106	1	*	GHSR	26	16	10	11	6	5
chr13	20161796	20161807	12	*	GJA3	22	7	15	20	8	12
chr2	120734961	120734961	1	*	GLI2	12	3	9	10	2	8
chr7	42237263	42237291	29	*	GLI3	63	2	61	53	0	53
chr2	190880319	190880347	29	*	GLS	97	0	97	42	0	42
chr12	104050221	104050229	9	*	GLT8D2	36	0	36	21	1	20
chr2	69829544	69829544	1	*	GMCL1	30	0	30	11	0	11
chr14	24232714	24233384	671	*	GMPR2	35	1	34	20	1	19
chr18	11689382	11689382	1	*	GNAL	34	1	33	10	1	9
chr1	84506644	84506644	1	*	GNG5	26	0	26	10	0	10
chr1	231241533	231241533	1	*	GNPAT	26	0	26	11	0	11
chr16	1352397	1352397	1	*	GNPTG	16	0	16	10	0	10
chr12	132828581	132828581	1	*	GOLGA3	27	0	27	10	0	10
chr5	32173916	32173916	1	*	GOLPH3	28	0	28	10	0	10
chr1	155857456	155857480	25	*	GON4L	70	1	69	46	2	44
chr16	58734056	58734056	1	*	GOT2	28	0	28	10	0	10
chr22	19723368	19723380	13	*	GP1BB	35	11	24	21	16	5
chr3	129060598	129060626	29	*	GP9	42	4	38	22	4	18
chr10	112183836	112183863	28	*	GPAM	98	0	98	46	0	46
chr6	31665616	31665616	1	*	GPANK1	12	0	12	10	0	10
chr1	156601725	156601727	3	*	GPATCH4	47	6	41	21	1	20
chr1	45687234	45687249	16	*	GPBP1L1	52	0	52	32	0	32
chr3	32106939	32106950	12	*	GPD1L	30	0	30	22	0	22
chr1	26890585	26890607	23	*	GPN2	40	1	39	23	0	23
chr9	130053830	130053857	28	*	GPR107	46	1	45	44	0	44
chr14	105065872	105065872	1	*	GPR132	30	0	30	14	0	14
chr2	230924807	230924807	1	*	GPR55	16	0	16	10	0	10
chr2	53859355	53859355	1	*	GPR75	15	15	0	11	11	0
chr17	74431807	74432714	908	*	GPRC5C	66	4	62	41	1	40
chr10	46556406	46556406	1	*	GPRIN2	27	3	24	10	0	10
chr17	82052229	82052852	624	*	GPS1	142	7	135	53	4	49
chr19	34999811	34999820	10	*	GRAMD1A	60	1	59	20	0	20
chr18	21241424	21241424	1	*	GREB1L	49	12	37	10	0	10
chr21	29939787	29939787	1	*	GRIK1	29	18	11	10	5	5
chr11	120564247	120564247	1	*	GRIK4	16	10	6	10	6	4
chr17	74860169	74860169	1	*	GRIN2C	29	2	27	11	0	11
chr22	25564286	25564300	15	*	GRK3	32	0	32	22	0	22
chr18	59220696	59220719	24	*	GRP	52	23	29	24	8	16
chr5	149345699	149345699	1	*	GRPEL2	22	0	22	11	0	11
chr8	143553377	143553404	28	*	GSDMD	52	0	52	46	0	46
chr19	42243165	42243165	1	*	GSK3A	21	0	21	10	0	10
chr10	104274897	104274897	1	*	GSTO2	22	1	21	10	0	10
chr3	120743081	120743083	3	*	GTF2E1	30	0	30	20	0	20
chr11	18322662	18322662	1	*	GTF2H1	12	0	12	11	0	11
chr18	70651912	70651912	1	*	GTSCR1	30	11	19	12	5	7
chr6	27133894	27133922	29	*	H2AC11	132	0	132	75	0	75
chr6	26033917	26034162	246	*	H2AC4	32	4	28	20	0	20
chr4	99950124	99950150	27	*	H2AZ1	85	0	85	55	0	55
chr6	26285697	26285711	15	*	H4C8	99	0	99	30	0	30
chr10	113553827	113553846	20	*	HABP2	30	6	24	20	5	15
chr2	171923336	171923367	32	*	HAT1	62	5	57	31	4	27
chr19	17075253	17075253	1	*	HAUS8	15	0	15	10	0	10
chr16	165319	165319	1	*	HBM	22	2	20	11	1	10
chr6	135054363	135054363	1	*	HBS1L	22	0	22	10	0	10
chr5	141636526	141636547	22	*	HDAC3	132	0	132	61	0	61
chr2	239401295	239401310	16	*	HDAC4-AS1	67	0	67	20	0	20
chr18	47150459	47150459	1	*	HDHD2	25	0	25	10	0	10
chr12	13000166	13000193	28	*	HEBP1	81	1	80	52	0	52
chr10	94546135	94546135	1	*	HELLS	11	0	11	10	0	10
chr3	194136131	194137022	892	*	HES1	44	1	43	21	0	21
chr1	39640032	39640034	3	*	HEYL	31	29	2	22	16	6
chr10	92689213	92689218	6	*	HHEX	70	3	67	20	1	19
chr7	27662466	27662853	388	*	HIBADH	43	0	43	31	0	31
chr12	122836334	122836334	1	*	HIP1R	25	0	25	10	0	10
chr6	29942687	29942693	7	*	HLA-A	22	18	4	21	21	0
chr20	31514540	31514540	1	*	HM13	21	0	21	10	0	10
chr11	119085054	119085054	1	*	HMBS	23	0	23	10	0	10
chr6	79234653	79234667	15	*	HMGN3	53	2	51	31	1	30
chr4	82429349	82429366	18	*	HNRNPDL	22	0	22	20	0	20
chr10	43407969	43407969	1	*	HNRNPF	31	2	29	10	0	10
chr10	68331445	68332749	1305	*	HNRNPH3	79	0	79	32	0	32
chr9	83979612	83979638	27	*	HNRNPK	125	1	124	73	0	73
chr2	38602266	38602266	1	*	HNRNPLL	24	0	24	10	0	10
chr19	41263871	41263871	1	*	HNRNPUL1	24	0	24	10	0	10
chr7	27147884	27147905	22	*	HOXA6	60	37	23	41	14	27
chr12	54053566	54053566	1	*	HOXC4	17	0	17	10	0	10
chr6	114063236	114063242	7	*	HS3ST5	35	28	7	22	9	13
chr16	83808612	83808612	1	*	HSBP1	26	0	26	10	0	10
chr18	79964485	79964490	6	*	HSBP1L1	36	4	32	20	3	17
chr14	102088016	102088032	17	*	HSP90AA1	24	4	20	23	0	23
chr21	14382904	14383700	797	*	HSPA13	228	1	227	101	0	101
chr6	86937778	86937783	6	*	HTR1E	32	24	8	20	11	9
chr4	8269352	8269352	1	*	HTRA3	19	19	0	10	5	5
chr21	31873145	31873145	1	*	HUNK	14	7	7	10	1	9
chr12	110688583	110689754	1172	*	HVCN1	83	27	56	32	10	22
chr19	10287293	10287321	29	*	ICAM4	36	0	36	33	2	31
chr10	92573287	92573300	14	*	IDE	67	3	64	34	3	31
chr6	30743796	30743809	14	*	IER3	47	28	19	32	16	16
chr18	47176140	47176167	28	*	IER3IP1	353	0	353	65	0	65
chr19	18174130	18174155	26	*	IFI30	108	0	108	43	0	43
chr2	162317856	162318050	195	*	IFIH1	103	6	97	43	1	42
chr6	137219234	137219237	4	*	IFNGR1	51	0	51	20	0	20
chr3	108222431	108222440	10	*	IFT57	68	1	67	20	1	19
chr11	2141057	2141057	1	*	IGF2	15	15	0	10	6	4
chr3	119034456	119034456	1	*	IGSF11	19	4	15	12	6	6
chr1	116667046	116667046	1	*	IGSF3	24	5	19	10	3	7
chr2	213151929	213151929	1	*	IKZF2	15	0	15	10	0	10
chr11	72000298	72000298	1	*	IL18BP	26	26	0	10	5	5
chr2	112785292	112785292	1	*	IL1A	20	20	0	13	13	0
chr16	27428263	27428263	1	*	IL21R	21	21	0	11	9	2
chr1	24143153	24143153	1	*	IL22RA1	25	9	16	11	4	7
chr7	111561535	111561535	1	*	IMMP2L	10	0	10	13	2	11
chr18	11981014	11982304	1291	*	IMPA2	149	0	149	58	0	58
chr11	62123978	62123978	1	*	INCENP	13	0	13	10	0	10
chr9	136439232	136439232	1	*	INPP5E	24	0	24	10	0	10
chr17	61927736	61927741	6	*	INTS2	47	0	47	22	0	22
chr10	58268089	58268100	12	*	IPMK	64	0	64	41	0	41
chr12	66189053	66189053	1	*	IRAK3	21	0	21	10	0	10
chr12	43759210	43759210	1	*	IRAK4	11	0	11	10	0	10
chr4	184474889	184474907	19	*	IRF2	84	0	84	33	0	33
chr7	128938679	128938679	1	*	IRF5	21	1	20	10	0	10
chr16	54930446	54930454	9	*	IRX5	51	0	51	20	0	20
chr19	55461220	55461220	1	*	ISOC2	26	0	26	10	0	10
chr3	129160314	129160314	1	*	ISY1	29	14	15	10	2	8
chr16	47144470	47144494	25	*	ITFG1-AS1	120	1	119	54	1	53
chr13	48233717	48233734	18	*	ITM2B	51	1	50	22	1	21
chr10	104328193	104328204	12	*	ITPRIP	30	0	30	20	0	20
chr2	24361292	24361292	1	*	ITSN2	17	17	0	10	9	1
chr1	185316694	185316694	1	*	IVNS1ABP	17	1	16	10	0	10
chr19	2097456	2097482	27	*	IZUMO4	46	8	38	21	4	17
chr1	64966020	64966020	1	*	JAK1	16	0	16	10	0	10
chr19	17848016	17848016	1	*	JAK3	17	7	10	10	2	8
chr8	74320423	74320445	23	*	JPH1	42	15	27	34	11	23
chr11	96390283	96390287	5	*	JRKL	49	0	49	31	0	31
chr1	58783563	58783582	20	*	JUN	62	0	62	40	1	39
chr19	12790958	12790958	1	*	JUNB	23	0	23	10	0	10
chr17	42121706	42121706	1	*	KAT2A	10	0	10	10	0	10
chr10	74824650	74824650	1	*	KAT6B	14	14	0	10	7	3
chr1	111988834	111988834	1	*	KCND3	15	2	13	10	0	10
chr2	10912004	10912011	8	*	KCNF1	44	11	33	20	8	12
chr14	88270145	88270145	1	*	KCNK10	20	19	1	10	9	1
chr6	39315211	39315211	1	*	KCNK17	11	10	1	10	3	7
chr1	215083278	215083278	1	*	KCNK2	21	4	17	11	2	9
chr19	17951947	17951947	1	*	KCNN1	30	0	30	10	0	10
chr11	2461549	2461577	29	*	KCNQ1	48	43	5	20	17	3
chr11	2862555	2862561	7	*	KCNQ1-AS1	40	18	22	20	10	10
chr6	72621072	72621072	1	*	KCNQ5	25	0	25	10	0	10
chr18	26549405	26549424	20	*	KCTD1	44	3	41	21	0	21
chr7	66628651	66628670	20	*	KCTD7	151	4	147	72	1	71
chr19	4968838	4968838	1	*	KDM4B	28	0	28	10	0	10
chr9	6757353	6757353	1	*	KDM4C	17	0	17	10	0	10
chr18	63367537	63367987	451	*	KDSR	77	3	74	30	0	30
chr6	24645969	24645985	17	*	KIAA0319	20	1	19	20	0	20
chr1	180912073	180912073	1	*	KIAA1614	13	4	9	11	4	7
chr22	25111825	25111852	28	*	KIAA1671-AS1	50	3	47	20	0	20
chr1	200620509	200620509	1	*	KIF14	30	0	30	10	0	10
chr16	29791083	29791083	1	*	KIF22	39	0	39	10	0	10
chr6	33391663	33391663	1	*	KIFC1	14	0	14	10	0	10
chr19	917759	917784	26	*	KISS1R	149	7	142	59	0	59
chr4	54658883	54658883	1	*	KIT	21	0	21	10	0	10
chr9	107489149	107489149	1	*	KLF4	14	0	14	10	1	9
chr14	49767933	49767954	22	*	KLHDC2	72	0	72	46	0	46
chr1	202927421	202927433	13	*	KLHL12	62	0	62	25	0	25
chr10	87862598	87862598	1	*	KLLN	17	0	17	11	0	11
chr11	118435632	118435642	11	*	KMT2A	39	0	39	32	0	32
chr12	123383722	123383722	1	*	KMT5A	23	1	22	10	0	10
chr11	68212639	68212659	21	*	KMT5B	226	1	225	70	0	70
chr17	47651229	47651229	1	*	KPNB1	17	0	17	10	0	10
chr12	52520289	52520289	1	*	KRT5	26	4	22	10	1	9
chr21	30881310	30881310	1	*	KRTAP11-1	17	14	3	10	7	3
chr21	44654700	44654700	1	*	KRTAP12-4	14	12	2	10	7	3
chr11	1628948	1628969	22	*	KRTAP5-5	44	2	42	30	1	29
chr18	6413962	6413962	1	*	L3MBTL4	20	20	0	10	9	1
chr19	54503142	54503142	1	*	LAIR2	15	10	5	15	7	8
chr1	156055528	156055528	1	*	LAMTOR2	22	1	21	11	0	11
chr4	128062097	128062097	1	*	LARP1B	20	0	20	11	0	11
chr12	50401566	50401566	1	*	LARP4	26	0	26	10	0	10
chr5	146182613	146183687	1075	*	LARS1	208	59	149	83	15	68
chr17	38869499	38869505	7	*	LASP1	28	0	28	20	0	20
chr11	62672085	62672094	10	*	LBHD1	22	0	22	20	0	20
chr10	101229830	101229841	12	*	LBX1-AS1	32	19	13	21	8	13
chr2	74502375	74502375	1	*	LBX2-AS1	10	4	6	10	8	2
chr5	170297624	170297624	1	*	LCP2	33	0	33	12	0	12
chr16	21158757	21158778	22	*	LDAF1	105	0	105	20	0	20
chr2	20822285	20822285	1	*	LDAH	20	1	19	10	0	10
chr11	18395089	18395089	1	*	LDHA	33	0	33	10	0	10
chr19	11089509	11089516	8	*	LDLR	29	13	16	27	6	21
chr18	13277405	13612403	334999	*	LDLRAD4	184	50	134	79	27	52
chr19	54463182	54463834	653	*	LENG9	138	1	137	66	0	66
chr12	51048114	51048139	26	*	LETMD1	51	0	51	29	0	29
chr19	39776434	39778467	2034	*	LEUTX	43	39	4	21	19	2
chr7	2519056	2519063	8	*	LFNG	45	5	40	22	2	20
chr19	35135912	35135912	1	*	LGI4	10	0	10	10	0	10
chr11	27471354	27471354	1	*	LGR4-AS1	16	14	2	10	10	0
chr19	48170296	48170296	1	*	LIG1	16	0	16	10	0	10
chr1	26411677	26411677	1	*	LIN28A	17	11	6	11	7	4
chr19	35749385	35749395	11	*	LIN37	40	35	5	23	19	4
chr16	85281997	85281997	1	*	LINC00311	25	23	2	10	3	7
chr13	75935812	75935821	10	*	LINC00561	28	28	0	24	21	3
chr13	110812434	110812456	23	*	LINC00567	55	52	3	46	34	12
chr18	5238315	5238340	26	*	LINC00667	83	1	82	37	0	37
chr6	57961501	57961526	26	*	LINC00680-GUSBP4	84	0	84	43	0	43
chr18	76620493	76620493	1	*	LINC00683	26	0	26	10	0	10
chr18	76527759	76529556	1798	*	LINC00908	133	44	89	69	18	51
chr6	27694026	27694035	10	*	LINC01012	53	2	51	22	3	19
chr11	1991226	1991226	1	*	LINC01219	32	11	21	11	7	4
chr2	241971234	241971234	1	*	LINC01238	17	15	2	11	8	3
chr22	19171049	19171049	1	*	LINC01311	14	0	14	10	0	10
chr1	1136847	1136851	5	*	LINC01342	34	4	30	20	1	19
chr1	65003216	65003351	136	*	LINC01359	49	15	34	31	8	23
chr18	55779697	55779723	27	*	LINC01415	52	4	48	22	2	20
chr18	14969723	14969723	1	*	LINC01444	17	9	8	11	3	8
chr19	51594550	51594550	1	*	LINC01530	25	0	25	10	0	10
chr21	17438715	17438715	1	*	LINC01549	19	14	5	12	3	9
chr6	167797783	167797783	1	*	LINC01558	23	22	1	10	6	4
chr3	128576922	128576922	1	*	LINC01565	19	17	2	10	9	1
chr6	2634565	2634575	11	*	LINC01600	60	0	60	22	0	22
chr6	71420945	71420945	1	*	LINC01626	18	8	10	10	5	5
chr18	51392757	51392757	1	*	LINC01630	15	13	2	10	6	4
chr22	43401228	43401232	5	*	LINC01639	37	32	5	21	15	6
chr21	43361354	43361370	17	*	LINC01679	55	4	51	38	0	38
chr1	182615129	182615154	26	*	LINC01686	235	2	233	69	0	69
chr1	30824280	30824280	1	*	LINC01778	27	0	27	15	0	15
chr2	46393937	46393937	1	*	LINC01820	20	19	1	10	8	2
chr2	129923295	129923298	4	*	LINC01856	41	8	33	20	0	20
chr18	514320	514320	1	*	LINC01925	16	9	7	12	7	5
chr5	151959126	151959152	27	*	LINC01933	29	15	14	20	9	11
chr17	79919327	79919348	22	*	LINC01978	35	19	16	23	8	15
chr17	52389852	52389852	1	*	LINC01982	17	3	14	10	1	9
chr17	72341915	72341915	1	*	LINC02003	14	10	4	10	1	9
chr16	25066728	25066742	15	*	LINC02175	62	0	62	40	1	39
chr17	45619510	45619510	1	*	LINC02210	32	31	1	16	15	1
chr14	97458461	97458461	1	*	LINC02325	27	24	3	11	6	5
chr12	132189869	132189891	23	*	LINC02361	82	0	82	56	0	56
chr12	98503388	98503388	1	*	LINC02453	25	0	25	10	1	9
chr6	2633953	2633979	27	*	LINC02521	28	26	2	20	10	10
chr22	31971363	31971363	1	*	LINC02558	30	28	2	10	3	7
chr3	48664342	48664342	1	*	LINC02585	10	0	10	10	0	10
chr2	98770943	98770955	13	*	LINC02611	38	34	4	21	17	4
chr11	45772258	45772258	1	*	LINC02716	19	0	19	10	0	10
chr11	70065226	70065251	26	*	LINC02753	27	26	1	24	15	9
chr8	143696768	143696768	1	*	LINC02878	20	0	20	10	0	10
chr18	49561936	49562590	655	*	LIPG	44	13	31	22	7	15
chr1	145927019	145927019	1	*	LIX1L-AS1	24	1	23	11	1	10
chr2	96739758	96739784	27	*	LMAN2L	98	3	95	53	0	53
chr7	156893484	156893484	1	*	LMBR1	26	0	26	11	0	11
chr5	36151544	36151562	19	*	LMBRD2	60	1	59	22	0	22
chr1	156126372	156126388	17	*	LMNA	53	0	53	21	0	21
chr19	2457235	2457235	1	*	LMNB2	28	0	28	12	0	12
chr11	8269291	8269293	3	*	LMO1	36	34	2	20	15	5
chr19	48512326	48512326	1	*	LMTK3	19	3	16	11	0	11
chr1	165356401	165356401	1	*	LMX1A	19	17	2	10	6	4
chr7	1534204	1534221	18	*	LOC100128653	52	50	2	20	10	10
chr9	89639775	89639802	28	*	LOC100129066	36	28	8	25	17	8
chr2	56185226	56185245	20	*	LOC100129434	38	10	28	22	4	18
chr4	782691	782717	27	*	LOC100129917	32	31	1	22	16	6
chr6	169963476	169963495	20	*	LOC100131532	46	41	5	23	18	5
chr9	62838364	62838383	20	*	LOC100132249	180	19	161	46	8	38
chr9	130578913	130578930	18	*	LOC100272217	44	1	43	22	1	21
chr6	166343052	166343052	1	*	LOC100289495	21	0	21	11	0	11
chr6	32894979	32895007	29	*	LOC100294145	115	1	114	42	1	41
chr6	3231595	3231595	1	*	LOC100422781	18	12	6	10	7	3
chr18	57630400	57630407	8	*	LOC100505549	62	0	62	20	0	20
chr19	41929096	41929096	1	*	LOC100505585	31	0	31	10	0	10
chr11	32041464	32041481	18	*	LOC100506675	39	38	1	33	27	6
chr6	32154977	32155003	27	*	LOC100507547	50	30	20	22	9	13
chr7	150357	150367	11	*	LOC100507642	56	2	54	21	0	21
chr7	102363757	102363775	19	*	LOC100630923	59	0	59	22	0	22
chr19	49018490	49018490	1	*	LOC101059948	30	18	12	10	4	6
chr9	35646588	35646588	1	*	LOC101926948	13	0	13	10	0	10
chr6	99424932	99424932	1	*	LOC101927365	19	0	19	14	0	14
chr6	3024420	3024420	1	*	LOC101927759	24	0	24	12	0	12
chr16	21599074	21599080	7	*	LOC101927814	26	0	26	31	0	31
chr9	89970105	89970132	28	*	LOC101927847	34	26	8	22	13	9
chr3	187291417	187291417	1	*	LOC101929130	26	2	24	11	2	9
chr6	33634390	33634390	1	*	LOC101929188	17	7	10	10	4	6
chr1	101026183	101026193	11	*	LOC102606465	46	0	46	20	0	20
chr2	1550997	1550997	1	*	LOC102723730	12	0	12	12	0	12
chr22	11897060	11897060	1	*	LOC102723769	37	5	32	10	1	9
chr12	127654891	127654914	24	*	LOC105370068	31	20	11	21	10	11
chr13	49247803	49247803	1	*	LOC105370203	17	0	17	10	0	10
chr7	30285407	30285407	1	*	LOC105375218	12	0	12	10	0	10
chr2	20500754	20500754	1	*	LOC107985856	19	19	0	10	10	0
chr1	2189832	2189856	25	*	LOC112268219	70	2	68	38	0	38
chr1	20154456	20154456	1	*	LOC117779438	15	15	0	11	9	2
chr18	76122678	76122688	11	*	LOC339298	45	42	3	20	15	5
chr22	32377385	32377385	1	*	LOC339666	14	13	1	11	8	3
chr9	107103093	107103098	6	*	LOC340512	30	9	21	24	12	12
chr11	123017868	123017868	1	*	LOC341056	12	11	1	10	9	1
chr19	6393682	6393702	21	*	LOC390877	38	0	38	38	0	38
chr7	65771277	65771277	1	*	LOC441242	39	33	6	11	8	3
chr22	46070026	46070026	1	*	LOC642648	20	0	20	10	0	10
chr6	3456242	3456262	21	*	LOC643327	66	13	53	21	2	19
chr8	12379933	12379959	27	*	LOC649352	139	115	24	58	41	17
chr19	36772995	36773015	21	*	LOC728485	80	0	80	47	0	47
chr7	150405111	150405111	1	*	LOC728743	23	0	23	10	0	10
chr6	166098133	166098133	1	*	LOC729681	10	5	5	16	4	12
chr4	6674438	6674444	7	*	LOC93622	70	0	70	34	0	34
chr19	5720206	5720375	170	*	LONP1	101	0	101	65	0	65
chr18	3013566	3013738	173	*	LPIN2	66	1	65	28	0	28
chr11	58578019	58578026	8	*	LPXN	57	0	57	21	1	20
chr12	132610694	132610703	10	*	LRCOL1	50	12	38	24	3	21
chr14	22871647	22871660	14	*	LRP10	38	0	38	22	0	22
chr2	169362614	169362618	5	*	LRP2	44	3	41	20	0	20
chr11	46917885	46917885	1	*	LRP4	28	0	28	10	3	7
chr22	25362042	25362670	629	*	LRP5L	108	62	46	49	15	34
chr2	43995922	43995926	5	*	LRPPRC	82	0	82	30	0	30
chr9	137170110	137170136	27	*	LRRC26	38	11	27	33	10	23
chr11	76671291	76671291	1	*	LRRC32	25	7	18	11	2	9
chr3	26625481	26625481	1	*	LRRC3B	27	13	14	10	2	8
chr11	57181814	57181829	16	*	LRRC55	41	2	39	24	0	24
chr5	157743767	157743780	14	*	LSM11	77	0	77	30	0	30
chr11	69674680	69674694	15	*	LTO1	56	0	56	30	0	30
chr6	31670677	31670677	1	*	LY6G5B	13	9	4	10	5	5
chr19	41844326	41844326	1	*	LYPD4	21	21	0	10	7	3
chr1	235866395	235866395	1	*	LYST	29	0	29	10	0	10
chr11	10568613	10568613	1	*	LYVE1	21	21	0	10	7	3
chr3	45915943	45915943	1	*	LZTFL1	17	6	11	11	5	6
chr22	20982545	20982545	1	*	LZTR1	28	0	28	10	0	10
chr10	101002674	101002682	9	*	LZTS2	23	23	0	24	12	12
chr13	35475868	35475868	1	*	MAB21L1	11	11	0	11	5	6
chr10	70053241	70053256	16	*	MACROH2A2	95	5	90	38	1	37
chr7	1939756	1939760	5	*	MAD1L1	41	3	38	20	1	19
chr22	38202917	38202941	25	*	MAFF	59	2	57	45	1	44
