	T0_Rep1	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
C7orf73_-_135347263.23-P1P2	3	1	0	1	1
C8orf31_+_144121121.23-P1P2	0	2	2	3	4
C8orf82_+_145754432.23-P1P2	1	2	0	1	0
C9orf116_-_138391279.23-P1P2	0	0	2	0	0
C9orf117_+_130469699.23-P1P2	0	0	0	1	1
C9orf131_-_35042269.23-P1P2	0	0	1	0	0
C9orf156_+_100684725.23-P1P2	0	0	0	1	0
C9orf169_+_140120110.23-P1P2	0	0	0	1	0
C9orf170_+_89763681.23-P1P2	0	0	1	1	0
C9orf50_-_132382956.23-P1P2	1	2	2	0	0
C9orf57_-_74675469.23-P1P2	0	0	0	1	2
C9orf66_-_215556.23-P1P2	0	0	0	0	1
C9orf78_-_132597496.23-P1P2	1	0	0	1	0
C9orf89_-_95858506.23-P1P2	0	0	1	0	1
C9orf91_+_117373936.23-P1P2	1	1	1	1	0
C9orf96_+_136243686.23-P1P2	4	0	1	0	1
CA2_+_86376261.23-P1P2	0	0	1	1	0
CA5A_+_87969837.23-P1P2	1	2	0	0	0
CA6_+_9006029.23-P1P2	0	1	0	0	0
CABLES2_+_60981924.23-P1P2	1	0	0	0	0
CABP1_+_121078576.23-P1P2	2	4	1	3	2
CABP2_+_67290864.23-P1P2	0	1	1	0	0
CACNA1B_+_140772667.23-P1P2	0	0	1	0	0
CACNA1D_-_53528740.23-P1P2	0	1	1	0	1
CACNA1F_+_49089754.23-P1P2	1	0	0	1	0
CACNA1S_+_201081501.23-P1P2	0	0	0	1	0
CACNA2D1_-_82072818.23-P1P2	1	1	1	1	3
CACNA2D1_-_82073256.23-P1P2	0	1	0	1	0
CACNB3_+_49212301.23-P1	1	0	0	0	2
CACNB4_+_152830507.23-ENST00000360283.6,ENST00000534999.1	0	0	1	4	1
CACYBP_+_174969393.23-P1P2	0	1	0	1	1
CADM3_-_159141454.23-P1P2	0	0	1	0	0
CAGE1_-_7389744.23-P1P2	0	0	0	0	1
CALB2_-_71392848.23-P1P2	0	0	1	0	0
CALM2_-_47403403.23-P1P2	0	0	1	1	1
CALML6_+_1847452.23-P1P2	1	1	1	0	0
CALN1_-_71912064.23-P2	0	0	1	1	0
CAMK1D_+_12391983.23-P1P2	1	1	0	0	1
CAMK2G_-_75634301.23-P1P2	0	0	0	0	2
CAMKK1_+_3796149.23-P1P2	1	3	0	0	1
CAMTA2_-_4890964.23-P1P2	6	4	2	0	5
CAND2_+_12838611.23-P1P2	0	0	0	1	0
CAPN1_+_64949444.23-P1P2	2	0	0	0	2
CAPN11_+_44126596.23-P1	0	0	0	3	2
CAPN12_-_39225630.23-P1P2	0	0	1	0	0
CAPN12_+_39226294.23-P1P2	4	2	2	2	1
CAPN15_-_577930.23-P1P2	1	0	0	0	0
CAPN3_+_42651840.23-ENST00000349748.3	0	0	0	1	0
CAPN3_+_42652246.23-ENST00000349748.3	3	2	0	2	2
CAPN5_+_76778097.23-P1P2	1	0	0	0	0
CAPN9_-_230883234.23-P1P2	0	0	0	1	0
CAPZA2_+_116502859.23-P1P2	0	0	0	1	0
CARD14_+_78143926.23-P1P2	0	0	0	1	0
CARD8_-_48759134.23-P2	0	1	1	2	0
CARKD_+_111267952.23-P1P2	1	0	0	0	0
CASC5_-_40886911.23-P1P2	1	0	0	0	1
CASD1_-_94139865.23-P1P2	0	0	1	1	0
CASKIN2_-_73511306.23-P1P2	0	0	0	1	0
CASP1_+_104905624.23-P1P2	1	0	0	0	0
CASP4_+_104825620.23-P2	0	0	0	0	1
CASP4_+_104825624.23-P2	0	1	0	1	0
CASP6_-_110624170.23-P1P2	0	1	0	0	1
CASS4_+_54987544.23-P1P2	0	2	1	1	2
CATSPER2_+_43940624.23-P1P2	1	0	2	1	1
CAV1_+_116165104.23-P2	2	0	5	2	3
CBFA2T3_-_89043387.23-P2	0	1	1	0	0
CBLC_+_45281185.23-P1P2	0	0	0	1	1
CBLC_+_45281504.23-P1P2	0	0	0	0	1
CBLN3_-_24900137.23-P1P2	0	0	2	0	1
CBR3_-_37507783.23-P1P2	0	0	0	0	1
CC2D2A_+_15480886.23-P1P2	0	2	1	0	0
CCAR1_-_70481376.23-P1P2	1	0	0	0	0
CCBL1_+_131644175.23-P1P2	0	0	0	2	2
CCDC102B_+_66382458.23-P1P2	0	0	0	0	4
CCDC104_+_55746851.23-P1P2	0	1	0	0	0
CCDC106_-_56159925.23-P1P2	0	0	1	0	0
CCDC107_-_35658369.23-P1P2	0	1	0	1	0
CCDC107_+_35658326.23-P1P2	0	1	0	0	0
CCDC109B_-_110481907.23-P1P2	1	2	0	3	0
CCDC11_-_47792838.23-P1P2	0	3	2	3	1
CCDC124_-_18043827.23-P1	1	0	0	0	1
CCDC124_-_18047292.23-P2	0	0	0	0	1
CCDC127_-_218216.23-P1P2	0	1	0	0	0
CCDC136_+_128430854.23-P1P2	0	1	0	0	0
CCDC149_-_24914592.23-P1P2	0	1	0	0	0
CCDC152_-_42756987.23-P1P2	1	1	0	3	1
CCDC153_+_119066517.23-P1	0	0	0	1	0
CCDC167_+_37467610.23-P1P2	1	2	3	3	2
CCDC168_-_103411360.23-P1P2	1	1	1	1	1
CCDC179_+_22881968.23-P1P2	1	0	0	1	0
CCDC40_-_78010477.23-P1P2	2	0	0	0	1
CCDC40_+_78010882.23-P1P2	0	1	0	0	0
CCDC41_+_94853652.23-P1P2	0	0	1	0	0
CCDC42B_+_113587572.23-P1P2	0	0	0	0	1
CCDC43_+_42767068.23-P1P2	0	2	0	0	1
CCDC51_+_48481293.23-P1P2	1	0	0	0	0
CCDC62_+_123258943.23-P1P2	0	2	0	0	0
CCDC67_-_93064024.23-P1P2	0	0	0	0	1
CCDC69_-_150603195.23-P1P2	0	1	2	1	1
CCDC71_-_49203701.23-P1P2	0	0	2	0	3
CCDC85B_-_65658161.23-P1P2	1	0	0	0	0
CCDC87_-_66360537.23-P1P2	1	0	0	0	0
CCDC89_+_85396813.23-P1P2	1	0	2	0	0
CCDC90B_-_82996764.23-P1P2	0	0	1	0	0
CCDC91_-_28343460.23-P1P2	0	0	1	0	0
CCK_+_42307695.23-P2	0	1	0	0	0
CCL15_+_34328588.23-P1P2	1	0	0	0	0
CCL20_-_228680245.23-P2	0	0	1	0	0
CCL21_-_34710039.23-P1P2	0	0	0	1	1
CCL25_+_8117867.23-P1P2	0	0	1	0	0
CCM2_-_45039871.23-P1P2	0	0	1	0	0
CCM2L_-_30598280.23-P2	0	4	2	0	3
CCNB1_-_68463373.23-P1P2	0	0	1	0	0
CCNC_+_100016058.23-P1P2	0	0	1	0	0
CCNE1_+_30303303.23-P1P2	1	0	0	0	0
CCNE2_-_95907017.23-P1P2	2	0	2	0	0
CCNE2_+_95906997.23-P1P2	9	0	0	1	1
CCNT1_+_49110522.23-P1P2	1	0	1	1	0
CCR1_+_46249619.23-P1P2	0	1	0	0	0
CCR10_+_40833622.23-P1P2	0	1	0	0	0
CCRL2_+_46448810.23-P1P2	0	0	0	0	1
CCZ1_-_5938613.23-P1P2	3	0	0	0	0
CCZ1B_+_6865995.23-ENST00000316731.8	0	0	2	1	0
CD160_-_145715198.23-P1P2	0	0	0	0	1
CD163_+_7656267.23-P1P2	0	1	0	0	1
CD164_+_109703656.23-P1P2	0	1	0	0	0
CD177_+_43857888.23-P1P2	1	0	0	0	0
CD2_+_117297046.23-P1P2	0	0	0	1	0
CD200R1L_-_112565661.23-P1P2	0	1	0	0	1
CD247_+_167487350.23-P1P2	1	0	0	0	0
CD248_-_66084486.23-P1P2	0	0	0	1	0
CD27_-_6554538.23-P1P2	0	0	1	0	0
CD274_+_5450537.23-P1P2	7	5	1	2	3
CD28_-_204571412.23-P1P2	0	0	0	0	2
CD300E_-_72619828.23-P1P2	1	0	2	0	0
CD300LF_+_72708670.23-P1P2	1	2	0	3	0
CD300LG_+_41924938.23-P1P2	0	1	0	0	0
CD33_-_51728897.23-P1P2	0	1	1	0	0
CD46_-_207925851.23-P1P2	0	0	1	0	0
CD55_+_207495720.23-P1P2	0	0	0	0	2
CD63_-_56122378.23-P1P2	0	0	0	0	1
CD63_+_56122744.23-P1P2	0	0	1	0	1
CD81_+_2398580.23-P1	0	0	1	0	0
CD84_+_160549223.23-P1P2	0	0	0	1	0
CD8A_+_87017569.23-P1P2	0	0	0	0	1
CD96_-_111261020.23-P1P2	0	2	1	1	1
CDC14B_-_99382112.23-P1P2	1	5	3	4	4
CDC26_+_116037872.23-P1P2	0	0	2	1	0
CDC42EP3_-_37898336.23-P1P2	0	0	1	0	1
CDC42EP5_-_54984405.23-P1P2	0	1	0	0	0
CDC42EP5_-_54984416.23-P1P2	0	1	0	0	1
CDC42EP5_+_54984398.23-P1P2	1	1	1	1	0
CDH24_-_23526679.23-P1P2	0	0	0	1	0
CDH3_-_68679218.23-P1P2	1	0	0	0	0
CDH5_-_66400656.23-P1P2	0	0	2	0	0
CDH5_+_66400649.23-P1P2	3	2	2	3	1
CDHR4_-_49837046.23-P1P2	0	1	0	2	0
CDK10_-_89753124.23-P1P2	0	1	0	0	0
CDK17_-_96794161.23-P1P2	0	0	1	0	0
CDK5R1_-_30813603.23-P1P2	2	2	0	0	0
CDK5R2_+_219824399.23-P1P2	0	1	2	0	0
CDK6_-_92463259.23-P2	2	2	3	1	1
CDK6_-_92465843.23-P1	0	0	1	1	0
CDKL1_+_50863545.23-P1P2	0	1	0	0	0
CDKL2_+_76555675.23-P1P2	2	0	0	0	0
CDKL4_-_39456253.23-ENST00000378803.1,ENST00000395035.3	0	0	1	1	0
CDKN1A_+_36646518.23-P1P2	0	0	1	0	1
CDKN1B_+_12870316.23-P1P2	1	1	1	1	0
CDKN2C_-_51434930.23-P2	0	0	0	2	0
CDKN2D_+_10679673.23-P1P2	4	6	11	6	8
CDRT1_+_15522433.23-ENST00000395906.3	1	0	0	0	0
CDS2_-_5107558.23-P1P2	0	0	0	0	1
CDT1_-_88871385.23-P1P2	0	1	0	0	0
CDX4_-_72667306.23-P1P2	0	0	1	0	0
CEACAM1_-_43032561.23-P1	1	0	0	0	0
CEACAM16_+_45202688.23-ENST00000587331.1	0	1	0	1	1
CEACAM6_-_42259497.23-P1P2	1	0	0	0	1
CEACAM7_-_42191683.23-P1P2	0	1	1	0	0
CEBPB_+_48807797.23-P1P2	1	2	0	0	1
CEBPG_+_33865050.23-P1P2	1	0	0	0	0
CECR5_-_17639981.23-P1P2	3	0	3	2	4
CELF3_-_151688845.23-P1P2	0	0	0	1	0
CELF6_+_72612462.23-P1P2	1	3	2	1	0
CELSR3_+_48699894.23-P1P2	1	0	0	0	0
CEND1_-_790068.23-P1	0	0	1	2	0
CEND1_+_788249.23-P2	1	3	1	3	1
CENPV_+_16256735.23-P1P2	2	1	0	4	3
CEP164_-_117199076.23-P1P2	1	3	0	1	1
CEP170_+_243418462.23-P1P2	2	1	4	1	2
CEP192_+_12991374.23-P1P2	0	1	0	0	0
CEP41_+_130080840.23-P1P2	0	0	0	1	0
CEP76_-_12702630.23-P1P2	1	0	0	0	0
CEP76_+_12702657.23-P1P2	1	0	0	0	0
CERCAM_+_131183590.23-P1P2	1	2	0	5	3
CERK_-_47134133.23-P1P2	0	0	0	1	0
CERKL_-_182521424.23-P1	0	0	1	0	0
CERS2_-_150947100.23-P1P2	1	0	0	0	1
CERS6_-_169312772.23-P1P2	2	1	1	3	4
CES1_-_55866991.23-P1P2	2	0	0	0	0
CES5A_-_55909197.23-P1P2	0	1	1	0	0
CFP_-_47489220.23-P1P2	0	1	0	0	0
CGB2_-_49535595.23-ENST00000359342.6	1	1	2	4	3
CGGBP1_-_88108111.23-P1	1	0	0	0	0
CGN_-_151484397.23-P1P2	1	0	0	0	1
CHAT_-_50822477.23-P1	0	0	0	1	1
CHCHD1_-_75541873.23-P1P2	0	1	0	0	0
CHCHD2_+_56174001.23-P1P2	0	0	1	0	1
CHCHD5_+_113342246.23-P1P2	0	1	2	1	2
CHD1_-_98261946.23-P1P2	0	1	0	0	0
CHD1_+_98262226.23-P1P2	1	0	0	0	0
CHD1L_+_146714837.23-P1P2	0	1	0	0	0
CHGA_-_93389474.23-P1P2	0	1	0	0	1
CHMP1A_-_89724068.23-P1P2	1	0	0	0	0
CHMP1B_-_11851421.23-P1P2	0	0	1	1	2
CHMP3_+_86790491.23-P1P2	0	1	0	1	0
CHMP4B_+_32399478.23-P1P2	0	1	0	0	0
CHMP5_+_33265436.23-P1P2	0	1	0	0	0
CHORDC1_-_89955813.23-P1P2	1	1	0	1	0
CHPF_+_220408264.23-P1P2	0	1	0	1	0
CHRNA10_-_3692563.23-ENST00000250699.2	0	0	0	1	0
CHRNA10_-_3692605.23-ENST00000250699.2	0	0	1	0	0
CHRNA9_+_40337570.23-P1P2	0	3	0	0	1
CHRNB4_+_78933497.23-P1P2	0	0	0	0	1
CHRNB4_+_78933567.23-P1P2	4	4	4	4	2
CHRND_-_233390951.23-P1P2	0	0	0	2	1
CHSY1_+_101791741.23-P1P2	1	0	0	0	0
CHUK_-_101989292.23-P1P2	5	0	0	3	2
CHUK_+_101989308.23-P1P2	1	0	1	0	1
CIAO1_-_96932005.23-P1P2	1	0	0	0	0
CIAO1_-_96932450.23-P1P2	1	0	0	0	0
CIAPIN1_-_57480897.23-P1P2	1	0	1	0	0
CIB2_+_78423672.23-P1P2	2	0	2	0	1
CIC_-_42788145.23-P1P2	0	0	0	0	2
CIDEA_+_12254436.23-P1P2	1	0	0	0	1
CIDEB_+_24780564.23-P2	1	0	0	1	0
CIITA_-_10971140.23-P1P2	0	0	0	0	1
CIT_-_120314748.23-P1P2	0	0	1	0	0
CIT_+_120315063.23-P1P2	0	0	0	1	0
CITED2_-_139695373.23-P1P2	0	5	2	4	4
CITED4_+_41328028.23-P1P2	2	1	1	2	1
CIZ1_-_130953537.23-P1P2	1	0	0	0	1
CKM_-_45826086.23-P1	2	1	5	7	6
CKMT2_+_80529359.23-P1P2	0	1	0	0	4
CLASRP_-_45542345.23-P1P2	0	0	0	1	0
CLCF1_+_67141522.23-P1P2	0	0	0	0	1
CLCN7_-_1524997.23-P1P2	1	1	1	0	1
CLCNKA_-_16348583.23-P2	2	1	1	0	0
CLCNKA_-_16355446.23-P1	1	1	0	2	0
CLCNKA_+_16349005.23-P2	1	0	0	0	0
CLCNKB_-_16370556.23-P1P2	1	0	0	2	1
CLDN19_-_43205852.23-P1P2	0	0	0	0	2
CLDN2_+_106163709.23-P2	4	0	0	0	0
CLDN20_+_155585305.23-P1P2	0	0	2	1	1
CLDN5_+_19512375.23-P1P2	2	0	0	0	0
CLDN8_+_31587897.23-P1P2	0	0	2	0	3
CLEC17A_+_14693988.23-P1P2	1	0	0	0	1
CLEC18B_+_74455092.23-P1P2	0	0	0	0	1
CLEC4A_+_8276905.23-P1P2	3	0	0	1	0
CLEC4E_-_8693491.23-P1P2	1	0	0	1	1
CLEC4F_-_71047726.23-P1P2	1	0	0	0	0
CLEC9A_-_10205759.23-P2	1	0	1	0	0
CLIC3_+_139891006.23-P1P2	2	0	1	0	2
CLIC5_-_45983544.23-P1P2	6	0	0	3	0
CLINT1_+_157286046.23-P1P2	1	0	1	1	1
CLK3_-_74890906.23-P2	0	0	0	0	1
CLK4_-_178053564.23-P1P2	1	0	0	0	0
CLMN_-_95786161.23-P1P2	0	1	0	0	0
CLMN_+_95786017.23-P1P2	0	1	0	0	1
CLMP_-_123065523.23-P1P2	2	3	1	0	0
CLOCK_+_56412548.23-P1P2	0	1	0	0	0
CLPP_-_6361603.23-P1P2	0	0	0	1	0
CLPTM1_-_45459069.23-P1P2	2	0	0	0	0
CLTC_+_57697290.23-P1P2	1	0	0	0	0
CLUL1_+_597049.23-P1	0	0	1	0	0
CMBL_-_10307909.23-P1P2	1	0	1	0	2
CMC4_+_154299536.23-P1P2	0	1	0	0	0
CMPK1_+_47799533.23-P1P2	0	0	1	0	0
CMPK2_+_7005809.23-P1P2	2	0	1	0	0
CMTM1_-_66601526.23-P1P2	1	0	0	1	0
CMTM8_+_32280235.23-P1P2	0	0	0	1	0
CMTR1_-_37401409.23-P1P2	0	1	1	0	0
CMTR2_-_71323260.23-P1P2	1	0	0	0	0
CMYA5_-_78985663.23-P1P2	0	0	1	1	0
CMYA5_+_78985889.23-P1P2	0	0	1	0	0
CNDP2_-_72163601.23-P1	1	0	0	0	1
CNEP1R1_-_50059195.23-P1P2	0	1	0	0	1
CNGA3_-_98962965.23-P1P2	0	1	0	0	0
CNN1_-_11651966.23-P2	0	1	0	0	0
CNNM4_-_97426651.23-P1P2	1	2	2	0	0
CNOT11_-_101869409.23-P1P2	0	0	0	0	1
CNOT2_+_70637651.23-P1P2	0	0	0	1	1
CNOT6_-_179921630.23-P1P2	0	0	0	1	0
CNOT8_-_154238211.23-P1P2	1	1	1	1	0
CNOT8_-_154238239.23-P1P2	0	0	1	0	0
CNPY3_+_42897281.23-P1P2	0	1	0	0	0
CNPY4_+_99717502.23-P1P2	0	0	0	0	1
CNTD1_+_40950813.23-P1P2	2	0	1	1	3
CNTFR_-_34589256.23-P1P2	3	2	1	0	0
CNTFR_+_34589299.23-P1P2	0	1	1	0	0
CNTLN_+_17135473.23-P1P2	0	0	1	1	1
CNTN5_-_98891754.23-P1P2	0	2	3	1	0
CNTNAP4_-_76311426.23-P1P2	0	0	1	0	0
CNTROB_+_7835541.23-P1P2	0	0	0	1	1
COL11A2_+_33160232.23-P1P2	1	0	0	0	0
COL17A1_+_105845226.23-P1P2	2	0	0	3	2
COL25A1_+_110223802.23-P1P2	0	0	1	3	0
COL27A1_-_116918272.23-P1P2	0	2	3	1	2
COL4A2_+_110960059.23-P1P2	1	0	0	0	0
COL6A3_-_238322846.23-P1P2	1	0	0	0	0
COL7A1_-_48632293.23-P1P2	1	0	0	0	2
COL7A1_+_48632724.23-P1P2	0	2	0	1	2
COLCA2_-_111170443.23-P1P2	0	2	1	2	2
COMMD1_-_62132819.23-P1P2	0	0	0	0	1
COMMD10_-_115420710.23-P1P2	0	0	1	0	0
COMMD10_-_115420778.23-P1P2	1	9	0	2	0
COMMD7_+_31330880.23-P1P2	0	0	1	0	0
COPS3_-_17184590.23-P1P2	0	0	1	0	1
COPS7B_-_232651226.23-P1	1	0	2	0	1
COQ3_+_99841823.23-P1P2	1	0	0	0	0
COQ4_+_131085135.23-P1P2	1	0	0	0	0
COQ7_+_19078980.23-P1P2	3	1	1	1	1
COQ7_+_19079018.23-P1P2	3	0	0	1	0
CORO1A_+_30194999.23-P1P2	1	0	0	0	0
CORO1B_-_67210879.23-P1	0	0	0	1	0
COTL1_+_84651284.23-P1P2	1	0	0	0	0
COX19_-_1014773.23-P1P2	0	1	0	1	0
COX4I2_-_30225777.23-P1P2	1	0	0	0	0
COX6B2_-_55866030.23-P1P2	0	2	0	0	0
COX7B2_-_46911218.23-P1P2	1	0	0	0	0
CPA5_-_129984754.23-P1	0	0	0	1	0
CPA6_+_68658611.23-P1P2	0	1	0	0	1
CPB2_+_46678674.23-P1P2	0	3	1	1	2
CPE_-_166300260.23-P1P2	1	1	0	0	1
CPE_+_166300703.23-P1P2	5	0	1	2	0
CPED1_-_120629184.23-P1P2	0	3	0	0	2
CPN2_-_194071977.23-P1P2	1	0	0	1	0
CPNE5_+_36807795.23-P1P2	2	2	3	8	8
CPNE8_-_39299327.23-P1P2	0	0	1	0	0
CPS1_+_211421342.23-P1P2	0	0	0	0	1
CPSF3L_+_1259906.23-P1P2	1	1	0	0	0
CPT2_-_53662888.23-P1P2	3	2	3	4	6
CRAMP1L_-_1664665.23-P2	0	0	0	0	1
CREB5_-_28475712.23-ENST00000396300.2	0	0	1	1	0
CREBL2_-_12764819.23-P1P2	4	2	0	1	0
CREBL2_+_12765011.23-P1P2	1	1	0	1	1
CRELD1_+_9975787.23-P1P2	0	0	1	0	0
CREM_-_35416252.23-ENST00000395895.2	1	0	0	0	0
CRIP3_+_43276288.23-P1P2	0	1	0	0	0
CRIPT_-_46844338.23-P1P2	1	1	0	0	1
CRLF1_+_18717128.23-P1P2	1	0	0	1	0
CRMP1_+_5894595.23-P2	2	2	1	0	0
CRNN_-_152386700.23-P1P2	0	1	0	0	0
CRTC1_+_18794936.23-P1P2	1	0	1	4	3
CRTC2_+_153931066.23-P1P2	1	0	0	0	0
CRTC2_+_153931101.23-P1P2	0	0	2	0	2
CRX_+_48325214.23-P1P2	0	1	0	1	0
CRYAA_-_44590419.23-P2	1	0	0	0	2
CRYAB_-_111782430.23-P1	0	1	0	2	0
CRYBA1_+_27574104.23-P1P2	0	1	2	4	2
CRYBB3_-_25596280.23-P1P2	1	0	0	0	0
CRYBB3_+_25596261.23-P1P2	0	1	2	1	0
CSF2_-_131409498.23-P1P2	1	1	0	2	1
CSF2_+_131409893.23-P1P2	2	0	2	1	1
CSGALNACT1_-_19614371.23-P1	1	1	0	0	0
CSH2_-_61950153.23-P1	0	0	2	0	0
CSH2_-_61950195.23-P1	1	2	1	2	1
CSN3_+_71108336.23-P1P2	0	0	1	0	0
CSNK1D_+_80230863.23-P1P2	1	1	0	0	0
CSNK1G2_-_1941178.23-P1P2	0	0	2	2	0
CSNK1G2_-_1941181.23-P1P2	5	6	4	3	5
CSNK2B_-_31634088.23-P1P2	0	0	1	0	1
CSRNP2_+_51477144.23-P1P2	0	1	0	0	0
CSRP3_+_19223268.23-P1P2	0	0	0	1	0
CST1_-_23730960.23-P1P2	0	0	0	2	1
CST3_+_23619001.23-P1P2	1	0	0	0	0
CST7_-_24930330.23-P1P2	1	0	0	1	1
CSTL1_-_23420360.23-ENST00000347397.1	0	0	0	0	1
CT45A1_+_134847640.23-ENST00000370741.3,ENST00000482795.1,ENST00000497301.2	0	0	1	1	2
CT47B1_+_120009388.23-ENST00000371311.3	0	0	0	0	1
CTCF_+_67596939.23-P1P2	0	0	0	1	1
CTDSP1_+_219264658.23-P1P2	0	0	1	1	0
CTDSPL_+_37903425.23-P1P2	0	0	1	0	1
CTDSPL_+_37903820.23-P1P2	0	0	1	0	0
CTDSPL2_+_44720032.23-P1P2	0	0	0	1	0
CTF1_-_30907958.23-P1P2	0	1	1	0	0
CTF1_-_30907976.23-P1P2	0	1	1	1	0
CTNNB1_-_41241051.23-P1P2	2	2	2	2	1
CTNND1_+_57529304.23-P1P2	0	0	0	2	0
CTNND2_-_11903870.23-ENST00000304623.8	0	1	0	1	3
CTR9_-_10773004.23-P1P2	0	0	0	2	0
CTRB2_+_75240654.23-P1P2	0	2	0	1	1
CTSC_-_88070827.23-P1P2	0	0	1	0	0
CTSC_-_88070848.23-P1P2	1	0	0	0	1
CTSH_-_79237212.23-P1P2	0	0	0	0	1
CTSL_+_90342816.23-P2	0	0	0	0	1
CTU1_+_51611638.23-P1P2	0	0	0	0	1
CUEDC2_-_104192360.23-P1P2	1	2	0	2	1
CUL2_-_35378874.23-P1P2	0	1	0	1	0
CUZD1_+_124605355.23-P1P2	1	1	0	0	1
CWC15_-_94706555.23-P1P2	1	1	0	0	0
CWC27_-_64064787.23-P1P2	0	1	0	0	0
CXADR_+_18885801.23-P1P2	0	2	0	0	1
CXCL1_+_74735535.23-P1P2	1	0	0	0	0
CXCL10_-_76944661.23-P1P2	0	0	0	0	1
CXCL14_+_134914276.23-P1P2	0	0	1	1	1
CXCL2_+_74965031.23-P1P2	2	1	1	1	1
CXorf40A_+_148622570.23-P1P2	1	0	0	0	0
CXorf40B_-_149106648.23-P1P2	0	0	0	1	0
CXorf66_+_139047259.23-P1P2	0	0	2	0	2
CXXC11_+_242812307.23-P1P2	1	1	0	0	0
CYB5D1_+_7761737.23-P1P2	0	1	1	0	0
CYBA_-_88717436.23-P1P2	1	0	0	1	1
CYLC1_+_83116199.23-P1P2	1	3	3	3	3
CYP11A1_-_74659878.23-P1	0	0	0	1	0
CYP11A1_+_74659559.23-P1	3	3	0	2	1
CYP19A1_-_51535152.23-P2	3	0	0	0	1
CYP2C8_-_96829141.23-P1P2	1	0	0	0	0
CYP3A4_-_99381692.23-P1P2	26	2	0	1	1
CYP4A22_-_47603197.23-P1P2	5	2	1	1	3
CYP4F11_+_16045613.23-P1P2	0	1	2	1	1
CYP4F22_+_15619353.23-P1P2	0	1	1	0	0
CYP4F8_+_15726732.23-P1P2	0	1	1	2	0
CYTH2_-_48973064.23-P1P2	0	0	2	1	0
DAAM1_+_59655456.23-P1P2	1	1	1	0	5
DACT3_-_47163935.23-P1P2	0	1	0	0	0
DAG1_+_49508120.23-P1P2	0	0	0	1	0
DAGLB_-_6487469.23-ENST00000297056.6	1	1	0	1	1
DAP_-_10761186.23-P1P2	0	0	0	0	1
DAPK1_-_90112867.23-P1P2	0	0	0	0	1
DARC_+_159174710.23-P1P2	0	1	0	0	0
DAZAP1_-_1407599.23-P1P2	0	0	0	0	1
DBNDD2_+_44037421.23-P1	0	0	1	0	0
DBX2_-_45444866.23-P1P2	0	1	0	1	0
DCAF10_-_37800791.23-P1P2	0	0	0	0	1
DCAF4L1_-_41983839.23-P1P2	1	0	0	0	1
DCAF5_-_69619800.23-P1P2	1	2	1	3	1
DCAKD_+_43138437.23-P2	0	0	0	1	0
DCLRE1C_+_14996065.23-P1P2	0	1	2	0	0
DCN_-_91576530.23-P1	0	0	0	1	0
DCN_+_91572876.23-P2	0	1	1	0	0
DCP1B_+_2113581.23-P1P2	0	0	1	1	0
DCT_+_95131896.23-P1P2	0	0	1	0	0
DCXR_+_79995174.23-P1P2	0	0	0	1	0
DDHD2_-_38089149.23-P1P2	1	0	0	0	2
DDHD2_+_38089177.23-P1P2	0	2	0	0	0
DDR1_-_30850727.23-P2	3	1	0	0	5
DDR1_-_30852492.23-P1	0	1	0	0	0
DDT_-_24321585.23-ENST00000350608.3	1	2	1	1	0
DDTL_+_24309538.23-P1P2	0	1	1	1	0
DDX4_-_55033929.23-P1P2	0	1	0	2	0
DDX46_-_134109485.23-P2	1	2	0	1	0
DECR1_-_91014135.23-P1P2	0	0	0	1	0
DEFB103B_+_7287838.23-ENST00000318124.3	1	0	0	0	0
DEFB110_+_49989685.23-P1P2	0	0	0	1	0
DEFB113_-_49936942.23-ENST00000398718.1	0	1	0	0	2
DEFB123_+_30028493.23-P1P2	2	0	0	1	0
DEFB127_-_138499.23-P1P2	2	0	0	0	1
DENND2A_+_140340168.23-P1P2	0	0	4	1	1
DENND5B_-_31743878.23-P1P2	0	0	1	2	3
DES_+_220283268.23-P1	0	0	0	1	0
DESI2_+_244816447.23-P1P2	0	1	0	1	0
DFNB31_+_117267770.23-P1P2	2	0	0	0	0
DGAT2_-_75480230.23-P1P2	1	0	0	0	0
DGCR6_+_18894031.23-P1P2	0	0	0	3	1
DGCR6L_-_20307541.23-P1P2	0	1	2	0	1
DGKE_+_54911838.23-P1P2	43	0	1	33	3
DGKK_+_50213751.23-P1P2	2	0	0	0	0
DGKQ_-_980401.23-P2	1	2	0	0	0
DGKQ_+_967291.23-P1	0	2	0	1	1
DHCR7_-_71159000.23-P1P2	0	1	1	0	0
DHCR7_+_71159403.23-P1P2	0	4	5	1	0
DHFR_+_79950399.23-P1P2	0	0	0	1	0
DHPS_+_12792224.23-P1P2	0	0	0	0	1
DHRS4L1_+_24506017.23-P1P2	0	1	0	0	0
DHX36_+_154042240.23-P1P2	1	0	0	0	0
DIABLO_-_122710507.23-P1P2	2	5	0	1	2
DIDO1_-_61557858.23-P1	0	0	0	1	1
DIO2_+_80677190.23-P1P2	0	1	0	0	0
DIP2C_-_735608.23-P1P2	2	1	0	2	2
DIS3_-_73355622.23-P1P2	0	0	1	2	0
DIS3L_+_66586293.23-P1P2	0	0	0	2	0
DIS3L2_+_232826549.23-P1P2	0	0	1	0	0
DKK2_+_107957056.23-P1P2	1	0	1	0	0
DLAT_-_111896201.23-P1P2	0	1	0	0	0
