	T0	DAC_Rep1	DAC_Rep2	DMSO_Rep1	DMSO_Rep2
ASXL1_-_30946821.23-P1P2	14	0	0	9	1
ASXL1_+_30946335.23-P1P2	70	1	0	14	33
ASXL1_+_30946338.23-P1P2	55	15	15	25	17
ASXL3_-_31158223.23-P1P2	0	1	0	0	0
ASXL3_+_31158641.23-P1P2	237	128	210	302	203
ASZ1_-_117067328.23-P1P2	6	0	0	0	0
ASZ1_+_117067480.23-P1P2	13	0	0	7	2
ATAD1_-_89577928.23-P1P2	17	0	0	11	11
ATAD2_-_124408665.23-P1P2	9	0	5	2	0
ATAD3A_-_1447565.23-P1P2	0	0	0	1	0
ATAD3A_-_1448075.23-P1P2	0	0	0	2	0
ATAD3A_-_1448082.23-P1P2	1	0	0	0	0
ATAD3A_+_1447534.23-P1P2	1	0	0	0	0
ATAD3B_-_1407167.23-P1	22	0	22	20	13
ATAD3B_+_1407208.23-P1	14	15	2	8	0
ATCAY_-_3880723.23-P1P2	21	0	0	1	2
ATCAY_-_3880756.23-P1P2	0	0	0	0	1
ATCAY_+_3880880.23-P1P2	21	0	39	15	9
ATCAY_+_3881123.23-P1P2	13	0	7	12	14
ATE1_-_123687904.23-P1P2	82	84	44	80	57
ATE1_+_123687094.23-P1P2	85	149	12	101	8
ATE1_+_123687498.23-P1P2	39	8	16	9	21
ATE1_+_123687896.23-P1P2	0	1	0	0	0
ATF1_-_51158152.23-P1P2	33	0	0	16	1
ATF2_-_176032472.23-P1P2	4	0	0	0	0
ATF2_-_176032680.23-P1P2	40	22	27	59	29
ATF2_+_176032497.23-P1P2	0	1	0	0	0
ATF3_+_212782100.23-P1P2	23	65	58	63	46
ATF3_+_212782164.23-P1P2	0	0	0	0	1
ATF3_+_212782184.23-P1P2	34	15	21	116	25
ATF4_-_39917038.23-P1P2	16	0	1	0	3
ATF5_+_50432513.23-P1P2	2	0	0	0	0
ATF6_-_161736156.23-P1P2	24	5	0	5	11
ATF6_+_161736178.23-P1P2	40	12	1	3	18
ATF6_+_161736292.23-P1P2	22	65	8	8	4
ATF6B_-_32095947.23-P1P2	1	0	0	0	0
ATF6B_+_32095571.23-P1P2	18	1	0	23	26
ATF6B_+_32095596.23-P1P2	0	0	0	1	0
ATF6B_+_32095602.23-P1P2	49	8	3	73	12
ATF6B_+_32096004.23-P1P2	16	41	7	19	0
ATF7_+_54019710.23-P1P2	1	0	0	0	0
ATF7IP_-_14518605.23-P1	0	0	1	0	0
ATF7IP_-_14538334.23-P2	21	36	31	14	53
ATF7IP_-_14538504.23-P2	0	0	0	1	0
ATF7IP_+_14538571.23-P2	39	0	1	33	23
ATF7IP2_-_10479924.23-P1P2	25	0	1	24	13
ATF7IP2_+_10480166.23-P1P2	74	5	0	37	12
ATG10_-_81267907.23-P1P2	1	0	0	0	0
ATG10_+_81267917.23-P1P2	0	0	1	0	0
ATG10_+_81268275.23-P1P2	8	803	942	487	290
ATG10_+_81268278.23-P1P2	15	0	0	0	1
ATG12_-_115177273.23-P1P2	6	0	0	8	0
ATG12_-_115177477.23-P1P2	2	0	0	0	0
ATG13_-_46639118.23-P1P2	0	0	0	0	1
ATG13_+_46639547.23-P1P2	3	0	0	0	0
ATG14_+_55878140.23-P1P2	30	31	10	11	17
ATG14_+_55878313.23-P1P2	0	0	1	1	0
ATG16L1_-_234160378.23-P1P2	25	1	0	15	5
ATG16L1_+_234160326.23-P1P2	8	0	0	22	3
ATG16L1_+_234160346.23-P1P2	12	11	0	0	9
ATG2A_-_64684541.23-P1P2	3	0	0	0	0
ATG2A_+_64684669.23-P1P2	39	3	32	18	12
ATG2B_-_96829324.23-P1P2	0	1	0	0	0
ATG2B_-_96829681.23-P1P2	0	0	0	1	0
ATG3_-_112280434.23-P1P2	97	63	18	89	42
ATG3_-_112280669.23-P1P2	10	0	1	4	0
ATG4A_-_107335072.23-P1P2	13	0	4	3	7
ATG4A_-_107335440.23-P1P2	17	0	0	0	0
ATG4B_+_242577182.23-P1P2	6	0	0	1	3
ATG4C_-_63249832.23-P1P2	81	22	41	78	59
ATG4C_+_63250235.23-P1P2	8	0	0	0	0
ATG4C_+_63250260.23-P1P2	13	14	38	18	0
ATG4C_+_63250272.23-P1P2	21	0	0	13	20
ATG4D_-_10655006.23-P1P2	0	0	0	0	1
ATG5_+_106773494.23-P1P2	18	0	0	20	22
ATG7_-_11314130.23-P1P2	27	0	16	39	11
ATG7_-_11314148.23-P1P2	5	0	0	0	1
ATG7_+_11314294.23-P1P2	16	0	27	0	14
ATG9A_-_220094287.23-P1P2	4	13	0	0	2
ATG9A_-_220094296.23-P1P2	37	0	13	57	25
ATG9A_+_220094211.23-P1P2	20	1	39	4	20
ATG9B_-_150721519.23-P1P2	11	0	0	0	0
ATG9B_-_150721533.23-P1P2	0	0	0	1	0
ATG9B_-_150721537.23-P1P2	16	0	0	1	7
ATG9B_-_150721541.23-P1P2	16	0	0	0	0
ATHL1_-_289141.23-P1P2	0	0	1	0	0
ATHL1_-_289549.23-P1P2	40	4	62	13	3
ATHL1_+_289204.23-P1P2	0	1	0	0	0
ATIC_+_216176495.23-P1P2	31	0	1	38	34
ATL1_-_51026934.23-P1P2	6	0	0	4	1
ATL1_+_51026906.23-P1P2	2	0	0	11	0
ATL1_+_51026923.23-P1P2	36	0	0	28	10
ATL2_-_38603991.23-P1P2	18	0	0	13	4
ATL2_+_38604354.23-P1P2	0	0	0	3	8
ATL3_-_63438672.23-P1P2	1	2	1	0	0
ATL3_-_63438880.23-P1P2	12	2	0	0	5
ATL3_-_63439002.23-P1P2	6	1	5	2	2
ATMIN_+_81069441.23-P1P2	764	433	587	637	564
ATMIN_+_81069661.23-P1P2	18	0	0	16	15
ATMIN_+_81069685.23-P1P2	19	0	0	3	0
ATN1_+_7037039.23-P1P2	9	2	1	0	1
ATN1_+_7037393.23-P1P2	7	0	0	15	10
ATOH1_+_94750149.23-P1P2	13	1	54	0	0
ATOH7_-_69991439.23-P1P2	0	0	1	4	0
ATOH7_-_69991454.23-P1P2	1	0	0	0	0
ATOH7_+_69991400.23-P1P2	48	0	18	75	40
ATOH8_-_85981251.23-P1P2	10	0	0	11	5
ATOH8_-_85981376.23-P1P2	0	0	0	1	0
ATOH8_-_85981509.23-P1P2	43	166	12	4	5
ATOH8_-_85981577.23-P1P2	0	0	1	0	0
ATOH8_+_85981615.23-P1P2	0	0	14	0	1
ATOX1_-_151137774.23-P1P2	31	3	26	3	18
ATOX1_-_151138108.23-P1P2	71	28	3	42	28
ATP10A_+_26108418.23-P1P2	41	22	149	28	8
ATP10B_-_160279012.23-P1P2	23	0	135	14	14
ATP10D_-_47487382.23-P1P2	0	5	0	0	12
ATP10D_+_47487557.23-P1P2	1	0	0	0	2
ATP11A_+_113344944.23-P1P2	31	0	0	3	6
ATP11A_+_113344955.23-P1P2	18	0	0	0	4
ATP11B_-_182511702.23-P1P2	1	0	1	1	0
ATP11B_-_182511742.23-P1P2	0	0	0	2	0
ATP11C_-_138914367.23-ENST00000361648.2	52	19	19	1	10
ATP12A_+_25254562.23-P1P2	63	20	28	48	26
ATP12A_+_25254615.23-P1P2	0	1	0	2	0
ATP13A1_-_19774161.23-P1P2	19	0	4	3	9
ATP13A1_-_19774270.23-P1P2	74	148	0	20	6
ATP13A1_+_19774468.23-P1P2	2	0	0	0	0
ATP13A1_+_19774471.23-P1P2	0	0	0	1	0
ATP13A2_+_17338415.23-P1P2	26	15	133	31	7
ATP13A3_-_194207568.23-P1P2	6	0	0	14	32
ATP13A5_-_193096146.23-P1P2	1	1	0	58	62
ATP1A2_-_160085582.23-P1	8	12	0	2	6
ATP1A2_+_160085574.23-P1	0	0	2	0	0
ATP1A2_+_160085883.23-P1	0	0	0	1	0
ATP1A2_+_160098236.23-P2	0	0	1	0	0
ATP1A3_-_42498335.23-P1P2	0	0	0	1	0
ATP1A3_+_42498326.23-P1P2	0	1	0	0	0
ATP1A3_+_42498353.23-P1P2	73	0	52	7	31
ATP1A3_+_42498369.23-P1P2	1	0	0	0	1
ATP1A4_+_160121791.23-P2	0	0	0	0	1
ATP1B2_-_7554254.23-P1P2	1	0	0	9	1
ATP1B2_+_7554677.23-P1P2	0	0	0	0	2
ATP1B3_-_141595882.23-P1P2	1	0	0	0	0
ATP1B4_-_119496050.23-P1P2	27	5	12	4	13
ATP1B4_+_119496162.23-P1P2	894	261	486	821	556
ATP2A1_-_28889826.23-P1P2	36	56	29	71	18
ATP2A3_-_3867309.23-P1P2	3	0	0	0	3
ATP2A3_-_3867723.23-P1P2	19	0	47	3	0
ATP2A3_-_3867729.23-P1P2	5	0	0	24	11
ATP2A3_+_3867694.23-P1P2	16	24	0	0	11
ATP2B2_+_10546828.23-P1	32	49	17	18	6
ATP2B2_+_10547164.23-P1	44	55	20	29	10
ATP2B2_+_10749386.23-P2	9	0	0	0	14
ATP2B2_+_10749428.23-P2	22	0	0	10	26
ATP2B3_+_152783328.23-P1P2	46	0	103	38	28
ATP2B4_-_203596191.23-P1P2	2	0	0	0	0
ATP2C2_-_84402173.23-P1P2	102	10	23	86	96
ATP2C2_-_84402192.23-P1P2	1	0	0	0	0
ATP2C2_+_84402315.23-P1P2	716	348	310	576	392
ATP4A_-_36048282.23-P2	0	1	0	0	0
ATP4A_+_36048719.23-P2	4	1	0	4	0
ATP4A_+_36054077.23-P1	1	0	0	0	0
ATP4A_+_36054145.23-P1	88	58	11	53	67
ATP5C1_+_7830138.23-P1P2	5	0	0	2	0
ATP5D_+_1241904.23-P1P2	18	0	0	0	0
ATP5D_+_1242179.23-P1P2	0	0	0	0	4
ATP5D_+_1242204.23-P1P2	6	0	0	2	0
ATP5E_-_57607407.23-P1P2	25	0	2	3	3
ATP5F1_+_111992112.23-P1P2	3	0	0	0	0
ATP5F1_+_111992145.23-P1P2	1	5	0	0	3
ATP5F1_+_111992171.23-P1P2	41	0	44	28	40
ATP5G1_-_46970159.23-P1P2	66	0	21	31	5
ATP5G1_+_46970595.23-P1P2	54	7	1	18	29
ATP5G1_+_46970609.23-P1P2	9	11	0	10	9
ATP5G2_-_54069695.23-P1P2	8	0	0	5	14
ATP5H_+_73042983.23-P1P2	121	71	36	118	43
ATP5I_-_668029.23-P1P2	18	0	0	0	0
ATP5I_+_668032.23-P1P2	17	0	69	15	0
ATP5J_+_27107205.23-P1P2	0	0	0	0	1
ATP5J_+_27107208.23-P1P2	0	0	0	2	2
ATP5J_+_27107938.23-P1P2	49	14	1	44	21
ATP5J2-PTCD1_+_99036361.23-P2	1042	724	491	744	564
ATP5L_-_118272348.23-P1P2	0	0	1	0	0
ATP5L2_-_43036339.23-ENST00000505920.1	6	0	0	0	0
ATP5L2_+_43036174.23-ENST00000505920.1	1	0	1	0	0
ATP5O_+_35287847.23-P1P2	7	0	0	0	0
ATP5S_+_50779463.23-P1P2	0	0	0	1	0
ATP5S_+_50779479.23-P1P2	5	0	3	0	0
ATP5SL_-_41945747.23-P1P2	9	3	0	6	1
ATP5SL_-_41945813.23-P1P2	10	19	3	5	3
ATP5SL_+_41945457.23-P1P2	11	2	1	6	15
ATP6AP1_-_153657002.23-P1P2	12	0	0	0	0
ATP6AP1L_-_81576101.23-P1P2	9	0	1	0	0
ATP6AP2_+_40440259.23-P1P2	77	16	1	1	7
ATP6AP2_+_40440598.23-P1P2	1	0	36	0	0
ATP6V0A1_+_40610918.23-P1P2	65	2	1	117	93
ATP6V0A2_-_124196923.23-P1P2	0	1	0	0	0
ATP6V0A2_-_124196959.23-P1P2	54	19	50	113	28
ATP6V0A4_-_138482518.23-P2	28	9	0	11	1
ATP6V0A4_+_138458657.23-P1	1	0	0	0	0
ATP6V0B_-_44440640.23-P1P2	14	5	51	2	7
ATP6V0B_+_44441013.23-P1P2	4	0	10	6	15
ATP6V0C_-_2563991.23-P1P2	5	0	0	0	0
ATP6V0C_-_2564212.23-P1P2	22	0	0	19	0
ATP6V0C_+_2564168.23-P1P2	39	1	45	21	19
ATP6V0D1_-_67515028.23-P1P2	0	0	0	0	1
ATP6V0D1_-_67515053.23-P1P2	0	0	0	12	0
ATP6V0D1_+_67514663.23-P1P2	0	0	1	0	0
ATP6V0D2_-_87111189.23-P1P2	0	0	2	0	0
ATP6V0D2_+_87111184.23-P1P2	0	1	0	0	0
ATP6V0E1_-_172410828.23-P1P2	0	0	0	0	1
ATP6V0E1_-_172411000.23-P1P2	17	0	0	0	0
ATP6V0E1_+_172410861.23-P1P2	3	0	0	0	1
ATP6V0E2_-_149571160.23-P1P2	9	0	4	22	10
ATP6V0E2_-_149571470.23-P1P2	1	0	0	0	0
ATP6V0E2_+_149571079.23-P1P2	15	6	0	7	2
ATP6V1A_-_113465905.23-P1P2	51	0	0	0	0
ATP6V1A_-_113466376.23-P1P2	0	0	0	1	0
ATP6V1B1_-_71163238.23-P1P2	27	29	3	9	22
ATP6V1B1_-_71163436.23-P1P2	16	0	0	13	8
ATP6V1B2_-_20054985.23-P1P2	15	0	0	0	24
ATP6V1B2_+_20054954.23-P1P2	18	0	0	0	0
ATP6V1B2_+_20055090.23-P1P2	17	0	0	0	0
ATP6V1C1_+_104033380.23-P1P2	55	0	0	0	0
ATP6V1C2_-_10862143.23-P1P2	0	0	3	0	2
ATP6V1C2_+_10861821.23-P1P2	0	0	0	0	1
ATP6V1D_+_67826485.23-P1P2	29	0	0	3	3
ATP6V1E1_+_18111331.23-P1P2	0	0	1	0	0
ATP6V1E1_+_18111483.23-P1P2	19	0	0	0	0
ATP6V1F_+_128503227.23-P1P2	13	0	0	7	0
ATP6V1G2_-_31514322.23-P1P2	35	1	5	29	35
ATP6V1G3_-_198509802.23-P1P2	0	9	0	0	0
ATP6V1H_-_54755470.23-P1P2	1	1	16	8	0
ATP6V1H_-_54755798.23-P1P2	3	0	0	0	0
ATP7A_+_77166215.23-P1P2	37	33	9	2	20
ATP7B_-_52585717.23-P1P2	8	1	0	0	0
ATP7B_-_52586136.23-P1P2	0	0	0	9	0
ATP7B_+_52586074.23-P1P2	21	0	0	1	1
ATP7B_+_52586109.23-P1P2	5	0	16	0	3
ATP8A1_-_42659062.23-P1P2	2	1	1	1	4
ATP8A1_-_42659112.23-P1P2	1	0	0	0	0
ATP8A2_-_25946345.23-P1P2	2	0	0	0	0
ATP8A2_-_25946459.23-P1P2	1	0	0	0	0
ATP8A2_+_25946259.23-P1P2	18	0	0	5	8
ATP8B1_-_55470166.23-P1P2	23	8	85	1	0
ATP8B1_-_55470587.23-P1P2	9	0	0	2	4
ATP8B1_+_55469902.23-P1P2	6	0	0	0	4
ATP8B1_+_55470113.23-P1P2	2	0	0	17	0
ATP8B1_+_55470527.23-P1P2	25	0	1	10	8
ATP8B2_-_154298056.23-P1	9	0	0	0	0
ATP8B2_-_154298363.23-P1	7	0	0	0	0
ATP8B2_-_154298417.23-P1	27	0	3	6	9
ATP8B2_-_154301319.23-P2	8	27	1	66	28
ATP8B2_+_154298085.23-P1	0	0	0	10	0
ATP8B2_+_154301302.23-P2	6	31	27	0	0
ATP8B2_+_154301338.23-P2	11	0	0	2	1
ATP8B2_+_154301354.23-P2	92	9	9	23	12
ATP8B3_+_1812259.23-P1P2	0	0	1	0	0
ATP9A_-_50384516.23-P1P2	3	0	0	0	0
ATP9A_-_50384586.23-P1P2	4	0	0	0	0
ATP9B_+_76829480.23-P1P2	43	0	24	12	5
ATPAF1_-_47133754.23-P1P2	12	0	0	0	4
ATPAF1_-_47133772.23-P1P2	0	0	1	2	0
ATPAF1_+_47134197.23-P1P2	9	6	0	13	0
ATPAF1_+_47134200.23-P1P2	17	19	13	13	0
ATPAF2_+_17942446.23-P1P2	46	65	17	40	10
ATPAF2_+_17942466.23-P1P2	0	0	0	1	0
ATPAF2_+_17942476.23-P1P2	7	0	1	4	1
ATPIF1_-_28562677.23-P1P2	44	0	7	7	22
ATR_-_142297369.23-P1P2	0	1	0	0	0
ATR_-_142297649.23-P1P2	1	0	0	0	0
ATRAID_+_27435288.23-P1P2	13	0	10	20	7
ATRN_-_3452076.23-P1P2	50	6	0	32	68
ATRNL1_-_116853323.23-P1P2	39	0	5	16	5
ATRNL1_+_116853187.23-P1P2	22	0	129	12	3
ATRX_-_77041440.23-P1P2	24	0	0	0	0
ATRX_+_77041530.23-P1P2	60	0	0	34	7
ATRX_+_77041684.23-P1P2	1	0	0	0	0
ATXN1_-_16761628.23-P1P2	12	0	0	1	14
ATXN1_-_16761659.23-P1P2	3	0	0	0	0
ATXN10_-_46068170.23-P1P2	0	0	1	0	0
ATXN2_-_112036668.23-P1P2	15	0	0	0	5
ATXN2_-_112037036.23-P1P2	0	0	0	1	0
ATXN2_-_112037100.23-P1P2	1	0	0	8	0
ATXN2_+_112036716.23-P1P2	2	0	30	45	13
ATXN2_+_112037067.23-P1P2	1	0	0	0	0
ATXN3_-_92572804.23-P1P2	3	17	0	4	7
ATXN3L_-_13338112.23-P1P2	34	45	29	21	24
ATXN3L_+_13338064.23-P1P2	0	2	0	0	0
ATXN7_-_63850049.23-ENST00000398590.3	1	0	0	0	0
ATXN7_-_63850058.23-ENST00000398590.3	22	5	0	3	13
ATXN7_-_63850061.23-ENST00000398590.3	81	22	4	13	32
ATXN7_-_63898568.23-ENST00000538065.1	27	0	1	1	21
ATXN7_-_63898699.23-ENST00000538065.1	3	0	0	2	0
ATXN7_+_63898619.23-ENST00000538065.1	13	14	0	0	11
ATXN7_+_63898741.23-ENST00000538065.1	16	0	0	5	0
ATXN7L2_+_110026609.23-P1P2	0	0	1	0	1
ATXN7L2_+_110026989.23-P1P2	0	0	0	1	0
ATXN7L3_+_42277062.23-P1P2	259	39	265	219	289
ATXN7L3_+_42277386.23-P1P2	0	0	1	0	0
ATXN7L3B_-_74931659.23-P1P2	3	0	0	8	4
AUH_+_94124167.23-P1P2	8	0	0	0	1
AUNIP_+_26185897.23-P1P2	0	0	0	0	1
AUP1_-_74756414.23-P1P2	58	0	10	47	54
AUP1_-_74756607.23-P1P2	6	0	0	0	0
AURKAIP1_+_1310564.23-P1P2	0	0	0	0	1
AUTS2_-_69063511.23-P1P2	1	1	0	0	0
AUTS2_+_69063485.23-P1P2	0	0	0	1	0
AVEN_+_34331211.23-P1P2	11	0	0	6	0
AVL9_+_32535187.23-P1P2	0	0	0	7	0
AVP_-_3064932.23-P1P2	0	0	0	1	0
AVP_+_3064893.23-P1P2	0	0	0	1	0
AVP_+_3065135.23-P1P2	11	0	2	21	4
AVPI1_-_99446937.23-P1P2	34	0	0	20	33
AVPI1_+_99446984.23-P1P2	20	10	15	10	0
AVPR1A_+_63544956.23-P1P2	27	0	0	22	9
AVPR1B_-_206223987.23-P1P2	0	1	1	1	1
AVPR2_+_153170422.23-P1P2	0	0	0	1	0
AVPR2_+_153170634.23-P1P2	1	0	0	1	0
AWAT1_-_69454684.23-P1P2	0	0	0	0	1
AWAT2_-_69269564.23-P1P2	13	59	0	12	21
AXIN2_-_63556400.23-P1	4	142	0	6	2
AXIN2_-_63557355.23-P2	47	0	7	28	44
AXIN2_+_63557648.23-P2	0	1	0	0	0
AXL_-_41725205.23-P1P2	0	0	0	1	0
AZI1_+_79196331.23-P1P2	1	0	0	0	0
AZI2_+_28390068.23-P1P2	0	0	0	0	1
AZIN1_-_103875911.23-P1P2	0	0	0	0	2
AZIN1_-_103876356.23-P1P2	0	2	1	0	0
AZU1_-_827854.23-P1	9	1	31	16	5
AZU1_-_827900.23-P1	18	21	3	4	89
B2M_-_45003947.23-P1	51	40	48	27	13
B2M_-_45008269.23-P2	18	0	0	0	1
B2M_+_45003754.23-P1	55	0	0	68	21
B2M_+_45007848.23-P2	53	4	9	17	19
B2M_+_45007861.23-P2	0	0	4	2	0
B3GALNT1_-_160822659.23-P1P2	0	0	0	0	1
B3GALNT1_-_160822712.23-P1P2	31	0	0	8	61
B3GALNT1_-_160822837.23-P1P2	19	0	144	27	11
B3GALNT2_-_235667692.23-P1P2	1	0	0	0	0
B3GALNT2_+_235667717.23-P1P2	15	0	3	2	2
B3GALT1_-_168725390.23-P1P2	18	7	5	0	4
B3GALT4_+_33245003.23-P1P2	3	0	0	0	0
B3GALT4_+_33245006.23-P1P2	0	3	69	0	17
B3GALT4_+_33245090.23-P1P2	11	0	0	0	0
B3GALT4_+_33245154.23-P1P2	1	4	0	5	0
B3GALT4_+_33245176.23-P1P2	14	0	0	10	7
B3GALT4_+_33245297.23-P1P2	7	0	36	0	0
B3GALT5_-_40928392.23-ENST00000380620.4	4	0	0	3	2
B3GALT5_-_40928430.23-ENST00000380620.4	0	0	0	1	0
B3GALT5_+_41029614.23-ENST00000380618.1	28	0	9	13	29
B3GALT5_+_41029638.23-ENST00000380618.1	70	4	2	63	26
B3GALT6_-_1167684.23-P1P2	0	1	0	1	0
B3GALT6_+_1168040.23-P1P2	19	63	5	26	7
B3GALTL_-_31774119.23-P1P2	1	0	0	2	0
B3GALTL_-_31774129.23-P1P2	0	0	0	0	1
B3GALTL_+_31774285.23-P1P2	0	0	1	0	0
B3GALTL_+_31774549.23-P1P2	58	6	12	49	24
B3GALTL_+_31774576.23-P1P2	7	0	0	9	2
B3GAT1_-_134281717.23-P1P2	10	20	0	0	0
B3GAT1_-_134282102.23-P1P2	6	0	0	0	14
B3GAT3_-_62389197.23-P1P2	0	0	1	14	0
B3GAT3_-_62389247.23-P1P2	14	0	0	0	0
B3GNT1_-_66114692.23-P1P2	50	11	18	72	22
B3GNT1_+_66115055.23-P1P2	6	0	0	6	1
B3GNT1_+_66115081.23-P1P2	12	0	0	10	0
B3GNT2_-_62423682.23-P1P2	0	0	1	0	0
B3GNT2_+_62423331.23-P1P2	5	0	0	0	7
B3GNT3_-_17906057.23-P1P2	4	0	0	0	0
B3GNT3_+_17906029.23-P1P2	13	0	33	4	0
B3GNT3_+_17906447.23-P1P2	9	0	0	14	0
B3GNT4_+_122688662.23-P1P2	0	1	0	0	1
B3GNT5_+_182971138.23-P1P2	29	0	49	16	11
B3GNT6_-_76745477.23-P1P2	0	0	2	3	0
B3GNT6_-_76745692.23-P1P2	21	4	7	7	48
B3GNT6_-_76745822.23-P1P2	9	0	0	0	1
B3GNT7_+_232260465.23-P1P2	5	0	0	0	0
B3GNT8_-_41933839.23-P1P2	20	4	0	0	20
B3GNT8_-_41933860.23-P1P2	2	0	14	6	0
B3GNT9_+_67184487.23-P1P2	3	0	0	0	4
B3GNT9_+_67184896.23-P1P2	18	0	0	2	10
B3GNTL1_-_81009285.23-P1	0	0	0	1	0
B3GNTL1_+_81006393.23-P2	31	1	0	20	13
B3GNTL1_+_81009607.23-P1	0	0	0	1	0
B4GALNT1_+_58026539.23-P1P2	23	0	0	12	0
B4GALNT1_+_58026906.23-P1P2	0	0	1	0	0
B4GALNT2_+_47210224.23-P1P2	0	1	0	0	0
B4GALNT2_+_47210556.23-P1P2	1	0	0	0	0
B4GALNT2_+_47210572.23-P1P2	97	112	24	41	66
B4GALNT3_-_569342.23-P1P2	27	0	6	15	4
B4GALNT3_+_569325.23-P1P2	23	0	0	18	0
B4GALNT3_+_569584.23-P1P2	39	0	1	2	18
B4GALT1_-_33166777.23-P1P2	9	0	0	2	3
B4GALT1_+_33167161.23-P1P2	39	22	84	220	35
B4GALT2_+_44444940.23-P1P2	118	28	196	40	45
B4GALT2_+_44445388.23-P1P2	10	0	189	0	20
B4GALT3_-_161146833.23-P1P2	25	0	31	24	17
B4GALT5_+_48329986.23-P1P2	41	1	6	19	17
B4GALT6_-_29264320.23-P1P2	92	0	0	24	9
B4GALT6_+_29264481.23-P1P2	15	8	2	4	2
B4GALT7_+_177027199.23-P1P2	101	56	101	92	90
B4GALT7_+_177027204.23-P1P2	17	0	0	34	2
B9D1_-_19265895.23-P1P2	138	179	15	74	102
B9D1_-_19265964.23-P1P2	168	107	10	192	123
B9D2_+_41869551.23-P1P2	0	0	0	1	0
BAALC_-_104152961.23-P1P2	8	7	1	23	23
BAAT_+_104145750.23-P2	5	0	1	9	3
BAAT_+_104145761.23-P2	1	0	0	0	0
BAAT_+_104145806.23-P2	33	2	5	58	14
BABAM1_-_17378297.23-P1P2	0	1	0	0	0
BACE1_-_117186930.23-P1P2	55	1	2	52	11
BACE2_-_42540506.23-P1P2	37	0	1	19	6
BACH1_-_30671281.23-P1P2	1	0	0	5	0
BACH1_+_30671691.23-P1P2	9	0	0	8	5
BACH2_-_91006296.23-P1P2	11	0	1	15	6
BAD_+_64051936.23-P1P2	9	37	0	9	13
BAD_+_64052039.23-P1P2	6	0	0	0	0
BAD_+_64052075.23-P1P2	0	0	1	0	0
BAD_+_64052108.23-P1P2	1	0	0	5	2
BAG1_+_33264674.23-P1P2	1	0	0	0	0
BAG2_+_57037177.23-P1P2	65	0	18	3	30
BAG3_-_121411132.23-P1P2	1	1	0	0	0
BAG4_-_38034802.23-P1P2	10	0	0	19	19
BAG4_+_38034416.23-P1P2	13	155	3	18	19
BAHCC1_-_79373764.23-P1P2	15	0	0	5	0
BAHCC1_+_79373376.23-P1P2	0	1	0	0	0
BAHCC1_+_79373563.23-P1P2	2	0	0	0	0
BAHD1_-_40733549.23-P1P2	8	0	7	10	3
BAI2_+_32229554.23-P1P2	0	0	0	0	1
BAI3_+_69345275.23-P1P2	13	29	37	33	29
BAI3_+_69345458.23-P1P2	32	5	14	49	4
BAI3_+_69345564.23-P1P2	8	0	3	10	8
BAIAP2_+_79008984.23-P1P2	1	0	0	0	1
BAIAP2_+_79009136.23-P1P2	1	0	1	0	0
BAIAP2L1_-_98030007.23-P1P2	25	0	55	0	3
BAIAP2L1_-_98030202.23-P1P2	1	0	0	0	0
BAIAP2L1_-_98030377.23-P1P2	0	0	1	0	0
BAIAP2L2_+_38484922.23-P1	37	5	15	68	17
BAIAP3_-_1383782.23-P1P2	8	16	0	58	4
BAIAP3_-_1384002.23-P1P2	12	0	0	0	0
BAIAP3_-_1384928.23-P1P2	3	0	0	5	11
BAIAP3_+_1383745.23-P1P2	2	0	0	0	0
BAK1_-_33547674.23-P1P2	14	0	1	6	0
BAK1_-_33548010.23-P1P2	0	1	0	0	0
BAMBI_+_28966499.23-P1P2	0	1	0	0	0
BANF1_-_65770396.23-P1P2	12	0	17	2	38
BANF1_+_65770416.23-P1P2	3	0	9	0	3
BANF2_-_17680652.23-P1P2	14	1	0	37	8
BAP1_+_52443548.23-P1P2	16	0	0	16	11
BAP1_+_52443980.23-P1P2	11	0	0	0	1
BARD1_-_215674358.23-P1P2	54	13	57	51	24
BARD1_+_215674263.23-P1P2	20	0	0	24	12
BARHL1_-_135458047.23-P1P2	29	0	0	6	6
BARHL1_-_135458064.23-P1P2	1	0	0	0	0
BARHL2_-_91182582.23-P1P2	59	11	20	57	39
BARHL2_+_91182286.23-P1P2	8	5	0	2	2
BARHL2_+_91182663.23-P1P2	0	0	1	0	0
BARX1_-_96717209.23-P1P2	4	0	0	0	0
BARX1_-_96717212.23-P1P2	38	70	1	2	12
BARX1_+_96717204.23-P1P2	11	11	31	19	25
BARX1_+_96717617.23-P1P2	17	2	0	22	17
BARX2_-_129245560.23-P1P2	12	70	1	0	6
BARX2_+_129245577.23-P1P2	8	0	0	18	0
BARX2_+_129245920.23-P1P2	30	0	0	29	37
BASP1_-_17217782.23-P1P2	16	0	1	16	11
BATF_-_75988864.23-P1P2	0	1	0	0	0
BATF_-_75988883.23-P1P2	1	0	0	0	0
BATF_-_75989205.23-P1P2	0	0	0	0	1
BATF3_-_212872832.23-P1P2	10	0	0	0	3
BATF3_+_212873228.23-P1P2	17	11	12	3	0
BAX_+_49458505.23-P1P2	0	0	1	0	0
BAZ1A_+_35344068.23-P1P2	23	0	18	25	15
BAZ1B_+_72936507.23-P1P2	0	0	0	1	0
BAZ2A_-_57023996.23-P1	0	0	0	0	1
BAZ2A_-_57024000.23-P1	1	0	0	0	0
